omega,rank,D,mask,status,total_sec,pell_sec,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,error
5,1,2310,31,HIT,0.000201,0.000043,3,2,1,1,0,30,30,1,384,
5,2,1155,30,CHECKED_NO_HIT,0.000169,0.000044,2,1,1,1,0,30,30,0,,
5,3,770,29,CHECKED_NO_HIT,0.000147,0.000027,3,1,1,2,0,15,15,0,,
5,4,165,22,HIT,0.000101,0.000022,4,2,1,1,0,30,30,1,539,
5,5,21,10,HIT,0.000090,0.000024,2,2,1,2,0,15,15,1,3024,
5,6,231,26,CHECKED_NO_HIT,0.000082,0.000012,2,1,1,1,0,30,30,0,,
5,7,462,27,CHECKED_NO_HIT,0.000082,0.000012,2,1,1,3,0,10,10,0,,
5,8,77,24,CHECKED_NO_HIT,0.000081,0.000028,3,2,1,2,0,15,15,0,,
5,9,330,23,CHECKED_NO_HIT,0.000078,0.000030,3,1,1,3,0,10,10,0,,
5,10,110,21,HIT,0.000072,0.000016,2,1,1,2,0,15,15,1,440,
5,11,30,7,CHECKED_NO_HIT,0.000067,0.000011,2,1,1,6,0,5,5,0,,
5,12,22,17,CHECKED_NO_HIT,0.000057,0.000034,3,2,1,3,0,10,10,0,,
5,13,385,28,GATE_Y1_NOT_SMOOTH,0.000056,0.000048,5,4,0,0,0,0,0,0,,
5,14,14,9,CHECKED_NO_HIT,0.000055,0.000025,2,1,1,10,0,3,3,0,,
5,15,70,13,CHECKED_NO_HIT,0.000055,0.000024,3,2,1,5,0,6,6,0,,
5,16,210,15,CHECKED_NO_HIT,0.000053,0.000014,2,1,1,5,0,6,6,0,,
5,17,154,25,GATE_Y1_NOT_SMOOTH,0.000052,0.000035,5,4,0,0,0,0,0,0,,
5,18,2,1,HIT,0.000052,0.000013,1,1,1,6,0,5,5,1,9800,
5,19,55,20,CHECKED_NO_HIT,0.000048,0.000019,2,2,1,4,0,7,7,0,,
5,20,105,14,CHECKED_NO_HIT,0.000047,0.000016,2,1,1,6,0,5,5,0,,
5,21,33,18,CHECKED_NO_HIT,0.000044,0.000023,2,1,1,12,0,2,2,0,,
5,22,11,16,CHECKED_NO_HIT,0.000044,0.000017,2,1,1,6,0,5,5,0,,
5,23,66,19,CHECKED_NO_HIT,0.000044,0.000012,2,1,1,4,0,7,7,0,,
5,24,5,4,CHECKED_NO_HIT,0.000040,0.000018,1,1,1,20,0,1,1,0,,
5,25,15,6,CHECKED_NO_HIT,0.000039,0.000017,1,1,1,15,0,2,2,0,,
5,26,42,11,CHECKED_NO_HIT,0.000037,0.000014,2,1,1,15,0,2,2,0,,
5,27,3,2,LCM_EXCEEDS_L,0.000035,0.000013,1,1,1,60,0,0,0,0,,
5,28,35,12,CHECKED_NO_HIT,0.000034,0.000011,1,1,1,6,0,5,5,0,,
5,29,10,5,CHECKED_NO_HIT,0.000033,0.000013,2,1,1,12,0,2,2,0,,
5,30,7,8,CHECKED_NO_HIT,0.000029,0.000013,1,1,1,6,0,5,5,0,,
5,31,6,3,CHECKED_NO_HIT,0.000023,0.000012,1,1,1,12,0,2,2,0,,
