omega,D,mask,status,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,pell_sec,total_sec,error
7,510510,127,HIT,4,1,1,1,0,30,30,1,714,0.000027,0.000132,
7,255255,126,GATE_Y1_NOT_SMOOTH,7,4,0,0,0,0,0,0,,0.000052,0.000088,
7,170170,125,HIT,5,2,1,1,0,30,30,1,12375,0.000044,0.000127,
7,102102,123,GATE_Y1_NOT_SMOOTH,7,5,0,0,0,0,0,0,,0.000029,0.000067,
7,72930,119,CHECKED_NO_HIT,4,2,1,3,0,10,10,0,,0.000035,0.000095,
7,46410,111,GATE_Y1_NOT_SMOOTH,6,3,0,0,0,0,0,0,,0.000031,0.000068,
7,39270,95,CHECKED_NO_HIT,4,1,1,3,0,10,10,0,,0.000035,0.000094,
7,30030,63,CHECKED_NO_HIT,4,2,1,8,0,3,3,0,,0.000016,0.000073,
7,85085,124,GATE_Y1_NOT_SMOOTH,13,11,0,0,0,0,0,0,,0.000033,0.000043,
7,51051,122,GATE_Y1_NOT_SMOOTH,8,6,0,0,0,0,0,0,,0.000024,0.000029,
7,36465,118,GATE_Y1_NOT_SMOOTH,13,11,0,0,0,0,0,0,,0.000040,0.000048,
7,34034,121,GATE_Y1_NOT_SMOOTH,10,8,0,0,0,0,0,0,,0.000024,0.000029,
7,24310,117,CHECKED_NO_HIT,4,2,1,4,0,7,7,0,,0.000012,0.000035,
7,23205,110,GATE_Y1_NOT_SMOOTH,8,6,0,0,0,0,0,0,,0.000016,0.000027,
7,19635,94,CHECKED_NO_HIT,4,1,1,7,0,4,4,0,,0.000016,0.000036,
7,15470,109,GATE_Y1_NOT_SMOOTH,7,5,0,0,0,0,0,0,,0.000026,0.000034,
7,14586,115,GATE_Y1_NOT_SMOOTH,8,6,0,0,0,0,0,0,,0.000029,0.000036,
7,15015,62,CHECKED_NO_HIT,4,2,1,4,0,7,7,0,,0.000071,0.000096,
7,13090,93,GATE_Y1_NOT_SMOOTH,11,8,0,0,0,0,0,0,,0.000034,0.000039,
7,10010,61,CHECKED_NO_HIT,4,2,1,18,0,1,1,0,,0.000007,0.000034,
7,9282,107,CHECKED_NO_HIT,4,3,1,15,0,2,2,0,,0.000015,0.000028,
7,7854,91,GATE_Y1_NOT_SMOOTH,6,4,0,0,0,0,0,0,,0.000026,0.000033,
7,6630,103,GATE_Y1_NOT_SMOOTH,5,3,0,0,0,0,0,0,,0.000018,0.000027,
7,6006,59,CHECKED_NO_HIT,3,1,1,18,0,1,1,0,,0.000007,0.000020,
7,5610,87,CHECKED_NO_HIT,3,2,1,14,0,2,2,0,,0.000019,0.000044,
7,4290,55,LCM_EXCEEDS_L,3,1,1,36,0,0,0,0,,0.000007,0.000016,
7,3570,79,LCM_EXCEEDS_L,3,1,1,42,0,0,0,0,,0.000012,0.000025,
7,2310,31,CHECKED_NO_HIT,3,2,1,24,0,1,1,0,,0.000008,0.000021,
7,2730,47,CHECKED_NO_HIT,3,1,1,18,0,1,1,0,,0.000029,0.000043,
7,17017,120,GATE_Y1_NOT_SMOOTH,9,7,0,0,0,0,0,0,,0.000034,0.000038,
7,12155,116,HIT,3,1,1,2,0,15,15,1,194480,0.000007,0.000039,
7,7735,108,CHECKED_NO_HIT,6,4,1,3,0,10,10,0,,0.000042,0.000082,
7,6545,92,GATE_Y1_NOT_SMOOTH,7,5,0,0,0,0,0,0,,0.000020,0.000023,
7,7293,114,GATE_Y1_NOT_SMOOTH,8,6,0,0,0,0,0,0,,0.000027,0.000060,
7,5005,60,GATE_Y1_NOT_SMOOTH,11,9,0,0,0,0,0,0,,0.000030,0.000034,
7,4862,113,GATE_Y1_NOT_SMOOTH,5,4,0,0,0,0,0,0,,0.000019,0.000024,
7,4641,106,CHECKED_NO_HIT,3,1,1,6,0,5,5,0,,0.000008,0.000023,
7,3315,102,GATE_Y1_NOT_SMOOTH,5,3,0,0,0,0,0,0,,0.000020,0.000023,
7,3927,90,CHECKED_NO_HIT,3,1,1,3,0,10,10,0,,0.000015,0.000040,
7,3094,105,GATE_Y1_NOT_SMOOTH,13,11,0,0,0,0,0,0,,0.000062,0.000066,
7,3003,58,CHECKED_NO_HIT,3,1,1,9,0,3,3,0,,0.000010,0.000024,
7,2805,86,CHECKED_NO_HIT,5,4,1,4,0,7,7,0,,0.000014,0.000034,
7,2210,101,GATE_Y1_NOT_SMOOTH,4,2,0,0,0,0,0,0,,0.000007,0.000012,
7,2618,89,CHECKED_NO_HIT,3,1,1,21,0,1,1,0,,0.000017,0.000044,
7,2145,54,GATE_Y1_NOT_SMOOTH,5,3,0,0,0,0,0,0,,0.000015,0.000018,
7,2002,57,GATE_Y1_NOT_SMOOTH,8,6,0,0,0,0,0,0,,0.000025,0.000033,
7,1870,85,GATE_Y1_NOT_SMOOTH,8,6,0,0,0,0,0,0,,0.000023,0.000026,
7,1785,78,CHECKED_NO_HIT,3,1,1,10,0,3,3,0,,0.000007,0.000021,
7,1365,46,GATE_Y1_NOT_SMOOTH,5,3,0,0,0,0,0,0,,0.000013,0.000016,
